type,comment,ioc
ip,infra,179.60.150.143
ip,infra,185.104.194.134
ip,infra,185.104.194.156
ip,infra,185.104.194.24
ip,infra,185.104.194.40
ip,infra,185.117.88.17
ip,infra,185.117.88.2
ip,infra,185.162.128.75
ip,infra,185.174.100.215
ip,infra,185.174.100.250
ip,infra,185.181.229.240
ip,infra,185.181.229.73
ip,infra,185.183.32.122
ip,infra,185.185.50.172
ip,infra,185.33.86.225
ip,infra,185.33.87.126
ip,infra,185.80.52.230
ip,infra,185.81.113.156
ip,infra,188.241.58.244
ip,infra,192.42.116.191
ip,infra,193.169.245.79
ip,infra,193.42.38.196
ip,infra,194.33.40.103
ip,infra,194.33.40.104
ip,infra,194.33.40[.1]64
ip,infra,198.12.76.214
ip,infra,198.137.247.10
ip,infra,198.27.75.110
ip,infra,20.47.120.195
ip,infra,206.221.182.106
ip,infra,208.115.199.25
ip,infra,209.127.116.122
ip,infra,209.127.4.22
ip,infra,209.222.103.170
ip,infra,209.222.98.25
ip,infra,213.121.182.84
ip,infra,216.144.248.20
ip,infra,24.3.132.168
ip,infra,3.101.53.11
ip,infra,44.206.3.111
ip,infra,45.227.253.133
ip,infra,45.227.253.147
ip,infra,45.227.253.50
ip,infra,45.227.253.6
ip,infra,45.227.253.82
ip,infra,45.56.165.248
ip,infra,5.149.248.68
ip,infra,5.149.250.74
ip,infra,5.149.250.92
ip,infra,5.188.86.114
ip,infra,5.188.86.250
ip,infra,5.188.87.194
ip,infra,5.188.87.226
ip,infra,5.188.87.27
ip,infra,5.252.23.116
ip,infra,5.252.25.88
ip,infra,5.34.178.28
ip,infra,5.34.178.30
ip,infra,5.34.178.31
ip,infra,5.34.180.205
ip,infra,5.34.180.48
ip,infra,54.184.187.134
ip,infra,54.39.133.41
ip,infra,62.112.11.57
ip,infra,62.182.82.19
ip,infra,62.182.85.234
ip,infra,66.85.26.215
ip,infra,66.85.26.234
ip,infra,66.85.26.248
ip,infra,75.101.131.237
ip,infra,76.117.196.3
ip,infra,77.83.197.66
ip,infra,79.141.160.78
ip,infra,79.141.160.78
ip,infra,79.141.160.83
ip,infra,79.141.166.119
ip,infra,81.56.49.148
ip,infra,82.117.252.141
ip,infra,82.117.252.142
ip,infra,84.234.96.104
ip,infra,84.234.96.31
ip,infra,89.39.104.118
ip,infra,89.39.105.108
ip,infra,91.202.4.76
ip,infra,91.222.174.68
ip,infra,91.222.174.95
ip,infra,91.229.76.187
ip,infra,92.118.36.249
ip,infra,93.190.142.131
ip,infra,96.44.181.131
url,infra,http://hiperfdhaus.com
url,infra,http://jirostrogud.com
url,infra,http://qweastradoc.com
url,infra,http://qweastradoc.com/gate.php
url,infra,http://connectzoomdownload.com/download/ZoomInstaller.exe
url,infra,https://connectzoomdownload.com/download/ZoomInstaller.exe
url,infra,http://zoom.voyage/download/Zoom.exe
url,infra,http://guerdofest.com/gate.php
